id,gameId,teamId,participantId,profileIcon,summonerName,championId,highestAchievedSeasonTier,spell1Id,spell2Id,assists,champLevel,combatPlayerScore,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,goldEarned,goldSpent,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,objectivePlayerScore,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,lane,role
1250441,1250336,100,5,659,PNG Picoca,201,UNRANKED,4,14,4,13,0,6,0,0,0,0,0,0,0,11471,10125,0,3222,3190,2303,0,3009,3024,3364,0,1,0,0,1,00:23:08,16933,5027,9892,0,0,0,0,0,7046,827,16030,0,0,31571,6453,26142,2886,59,0,0,00:15:12,5,0,7592,598,219,0,0,11,14,59,0,BOTTOM,DUO_SUPPORT
1250462,1250256,200,6,657,RED Ayel,78,UNRANKED,4,12,3,18,0,4,0,0,0,0,0,0,1,14989,14400,0,3512,1031,3025,1308,3068,3053,3340,0,0,0,0,0,00:21:56,39414,2220,9914,9,4,5,0,0,157818,8527,16310,0,0,198530,10882,27207,1457,320,0,0,01:13:58,1,0,1297,135,982,2,0,7,6,25,0,TOP,SOLO
1250463,1250256,200,7,657,RED Caos,76,UNRANKED,4,11,2,16,0,2,0,0,1,0,0,1,0,14413,13850,0,1410,3742,3512,1306,3027,0,3364,1,2,681,2,1,00:40:31,144421,14732,12646,118,10,108,0,0,15595,512,18208,0,0,184666,16477,31050,14906,93,0,0,00:07:25,5,0,24650,1232,196,0,0,5,41,33,0,JUNGLE,NONE
1250464,1250256,200,8,657,RED Brucer,4,UNRANKED,4,7,0,18,0,3,0,0,0,0,0,0,0,18807,16610,0,1052,3027,3009,3100,3285,3089,3363,1,4,0,3,1,00:18:15,329373,19856,9720,28,1,27,0,0,31432,809,17440,0,0,362119,21980,27563,2384,370,0,0,00:11:32,2,0,1314,1314,402,1,0,5,10,25,0,MIDDLE,SOLO
1250465,1250256,200,9,657,RED SacyR,236,UNRANKED,7,4,4,18,0,1,0,0,0,0,0,0,0,16476,15425,0,1036,3139,3508,3158,3087,3031,3363,0,0,858,0,0,00:44:07,59231,4346,11638,14,1,13,0,0,253923,18726,12506,0,0,315669,24642,24854,2010,406,0,0,00:04:40,3,0,2513,1569,710,1,0,1,9,14,0,BOTTOM,DUO_CARRY
1250466,1250256,200,10,657,RED Eryon,16,UNRANKED,4,3,4,14,0,2,0,0,0,0,0,0,0,10122,9375,0,2043,3028,2302,3158,3060,3114,3364,0,0,170,0,0,00:30:20,1806,1277,5533,0,0,0,0,0,1331,193,2126,0,0,3142,1475,7684,35340,15,0,0,00:01:21,14,0,4,4,25,0,0,13,10,58,0,BOTTOM,DUO_SUPPORT
1250497,1250291,200,6,551,ITZ Yang,78,UNRANKED,4,12,6,18,0,2,0,0,0,0,0,0,1,16311,15425,0,1308,3140,3512,3068,3065,3025,3363,1,2,0,2,1,00:27:22,81428,7357,11397,18,2,16,0,0,174321,15646,16573,0,0,255750,23004,33025,5736,325,0,0,01:23:16,1,0,0,0,5054,1,0,5,15,26,0,TOP,SOLO
1250498,1250291,200,7,552,ITZ Revolta,64,UNRANKED,4,11,2,18,0,2,1,0,0,0,0,0,0,15834,15050,0,1408,3512,3143,3009,3156,1011,3340,3,7,0,3,2,00:21:43,34667,1383,7416,102,16,86,0,0,111916,10379,18800,0,0,168142,11763,27919,9468,104,0,0,00:14:58,1,0,21558,0,1702,1,0,7,30,43,0,JUNGLE,NONE
1250499,1250291,200,8,552,ITZ tockers,134,UNRANKED,1,4,5,18,0,5,0,0,0,0,0,0,0,17851,17600,0,3157,3001,3089,1333,3027,3135,3363,1,2,0,2,1,00:15:59,380792,20206,10326,13,2,11,0,0,19767,423,8817,0,0,400560,20629,20849,3032,449,0,0,00:16:56,1,0,0,0,1705,0,0,4,9,25,0,MIDDLE,SOLO
1250500,1250291,200,9,657,ITZ micaO,236,UNRANKED,4,7,5,18,0,5,0,0,0,0,0,1,0,18715,18300,0,3031,3139,3094,3036,3508,3158,3363,0,0,1017,0,0,00:17:09,25815,1394,8254,47,2,45,0,0,373694,20458,16967,0,0,404925,22501,26005,4075,435,0,0,00:13:44,5,0,5416,648,784,1,0,2,12,19,0,JUNGLE,NONE
