id,gameId,teamId,championIdBan1,championIdBan2,championIdBan3,towerKills,baronKills,dominionVictoryScore,dragonKills,firstBaron,firstBlood,firstDragon,firstInhibitor,firstRiftHerald,firstTower,inhibitorKills,riftHeraldKills,vilemawKills,win
1230546,1230346,200,238,78,13,10,0,0,2,0,1,0,1,0,0,1,0,0,Win
1230547,1230347,200,12,412,41,7,0,0,2,0,0,0,0,0,0,1,0,0,Fail
1240372,1240272,100,12,78,42,11,1,0,5,1,0,1,1,0,0,3,0,0,Win
1240375,1240275,100,421,24,13,1,0,0,0,0,0,0,0,0,1,0,0,0,Fail
1240388,1240288,100,238,117,429,6,3,0,2,1,0,0,0,1,1,0,1,0,Fail
1240391,1240291,100,78,76,41,10,1,0,4,1,0,1,1,0,1,2,1,0,Win
1240472,1240272,200,41,429,13,3,0,0,0,0,1,0,0,1,1,0,1,0,Fail
1240475,1240275,200,78,114,429,11,0,0,2,0,1,1,1,0,0,4,0,0,Win
1240488,1240288,200,41,78,76,10,1,0,5,0,1,1,1,0,0,4,0,0,Win
1240491,1240291,200,238,117,429,4,0,0,1,0,1,0,0,1,0,0,1,0,Fail
1250171,1250071,100,429,42,4,3,0,0,2,0,0,0,0,0,0,0,0,0,Fail
1250187,1250087,100,42,12,79,11,0,0,2,0,0,1,1,1,0,3,1,0,Win
1250218,1250118,100,7,238,117,11,1,0,2,1,0,0,1,0,1,3,0,0,Win
1250226,1250126,100,117,76,4,9,0,0,3,0,0,0,1,0,0,3,0,0,Win
1250229,1250129,100,238,7,127,9,1,0,2,1,1,0,1,0,0,1,0,0,Win
1250271,1250071,200,79,12,98,10,1,0,2,1,1,1,1,1,1,2,1,0,Win
1250287,1250087,200,96,429,41,4,0,0,1,0,1,0,0,0,1,0,1,0,Fail
1250318,1250118,200,12,78,41,1,0,0,3,0,1,1,0,1,0,0,1,0,Fail
1250322,1250222,100,117,432,96,9,0,0,4,0,0,0,1,0,1,1,0,0,Win
1250326,1250126,200,238,96,79,8,2,0,3,1,1,1,0,1,1,1,1,0,Fail
1250329,1250129,200,117,96,76,3,0,0,1,0,0,1,0,1,1,0,1,0,Fail
1250356,1250256,100,238,429,114,11,1,0,4,1,0,1,1,0,0,4,0,0,Win
1250391,1250291,100,12,238,60,11,1,0,5,1,1,0,1,0,0,5,0,0,Win
1250406,1250306,100,117,12,127,11,0,0,2,0,0,1,1,1,1,4,1,0,Win
1250407,1250307,100,133,7,238,2,2,0,2,0,0,1,0,0,0,0,0,0,Fail
1250422,1250222,200,60,429,238,2,0,0,1,0,1,1,0,1,0,0,1,0,Fail
1250426,1250326,100,12,79,96,9,0,0,3,0,1,0,1,1,0,1,1,0,Fail
1250436,1250336,100,238,78,133,7,0,0,4,0,1,0,0,1,1,0,1,0,Fail
1250456,1250256,200,96,12,26,4,0,0,1,0,1,0,0,1,1,0,1,0,Fail
1250491,1250291,200,26,117,42,3,1,0,1,0,0,1,0,0,1,0,0,0,Fail
1250506,1250306,200,25,96,238,0,0,0,1,0,1,0,0,0,0,0,0,0,Fail
1250507,1250307,200,117,12,96,11,2,0,5,1,1,0,1,1,1,5,1,0,Win
1250526,1250326,200,7,238,421,8,3,0,2,1,0,1,0,0,1,1,1,0,Win
1250536,1250336,200,26,96,79,8,2,0,2,1,0,1,1,0,0,1,0,0,Win
1260192,1260092,100,79,12,98,5,1,0,4,1,0,1,0,0,1,0,0,0,Fail
1260210,1260110,100,238,7,429,10,1,0,4,1,1,0,1,1,1,3,2,0,Win
1260231,1260131,100,12,78,203,6,0,0,2,0,1,0,0,0,1,0,0,0,Fail
1260292,1260092,200,429,42,238,11,0,0,2,0,1,0,1,0,0,3,0,0,Win
1260310,1260110,200,42,96,117,6,2,0,2,0,0,1,0,0,0,1,0,0,Fail
1260331,1260131,200,7,96,238,11,2,0,5,1,0,1,1,1,0,3,1,0,Win
1260337,1260237,100,429,60,41,11,1,0,3,1,1,0,1,1,0,6,1,0,Win
1260353,1260253,100,117,26,42,11,0,0,1,0,1,0,1,0,1,3,0,0,Win
1260354,1260254,100,238,133,127,1,0,0,0,0,1,0,0,1,0,0,1,0,Fail
1260392,1260292,100,26,12,429,9,1,0,2,1,1,0,0,1,1,1,1,0,Win
1260403,1260303,100,54,133,429,10,1,0,2,0,1,1,1,1,1,4,1,0,Fail
1260408,1260308,100,117,114,96,1,0,0,0,0,1,0,0,0,0,0,0,0,Fail
1260432,1260332,100,117,127,79,11,0,0,1,0,1,0,1,0,1,3,0,0,Win
1260437,1260237,200,117,238,432,5,1,0,4,0,0,1,0,0,1,0,0,0,Fail
1260453,1260253,200,79,96,133,3,0,0,2,0,0,1,0,1,0,0,1,0,Fail
1260454,1260254,200,117,26,79,11,0,0,2,0,0,1,1,0,1,4,0,0,Win
1260461,1260361,100,7,238,236,4,0,0,3,0,0,1,0,0,1,0,0,0,Fail
1260478,1260378,100,26,76,79,5,0,0,1,0,1,1,0,1,0,0,1,0,Fail
1260492,1260292,200,238,96,127,8,1,0,3,0,0,1,1,0,0,2,0,0,Fail
1260503,1260303,200,96,117,79,9,1,0,4,1,0,0,0,0,0,1,0,0,Win
1260508,1260308,200,133,238,76,11,1,0,4,1,0,1,1,1,1,3,1,0,Win
1260532,1260332,200,12,238,429,5,0,0,2,0,0,1,0,0,0,0,0,0,Fail
1260561,1260361,200,79,12,117,10,0,0,1,0,1,0,1,1,0,1,2,0,Win
1260578,1260378,200,238,133,96,9,0,0,4,0,0,0,1,0,1,1,0,0,Win
1270231,1270131,100,12,117,127,8,0,0,3,0,0,0,1,0,0,1,0,0,Win
1270235,1270135,100,117,12,201,7,1,0,3,1,1,0,1,0,0,1,1,0,Win
1270278,1270178,100,26,99,201,9,1,0,3,1,0,1,1,0,0,2,0,0,Win
1270286,1270186,100,26,99,201,11,2,0,2,1,1,1,1,1,0,3,1,0,Win
1270299,1270199,100,238,33,127,11,1,0,6,1,0,1,0,0,1,4,0,0,Win
